DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,308,4/21/2001,1540,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,309,4/21/2001,1545,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,310,4/21/2001,1550,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,311,4/21/2001,1555,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,312,4/21/2001,1560,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,313,4/21/2001,1565,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,314,4/21/2001,1570,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,315,4/21/2001,1575,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,316,4/21/2001,1580,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,317,4/21/2001,1585,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,318,4/21/2001,1590,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,319,4/21/2001,1595,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,320,4/21/2001,1600,-0.01,-0.39,27.5,7.4
